trace_id	source_kind	source_ref	requirement_or_test	disposition	p4_consumer	p7_task_id	verification_gate
P4-X0198	PUBLIC_ZERO_SURFACE_TEST	P4-D-CALENDAR-DOM	P4-Z-CALENDAR-DOM	PUBLIC_ZERO_SURFACE	CALENDAR DOM artifact audit	P7-PUBLIC-ZERO-SURFACE	P4-GATE-PUBLIC-ZERO-SURFACE
P4-X0199	PUBLIC_ZERO_SURFACE_TEST	P4-D-CALENDAR-ROUTE	P4-Z-CALENDAR-ROUTE	PUBLIC_ZERO_SURFACE	CALENDAR ROUTE artifact audit	P7-PUBLIC-ZERO-SURFACE	P4-GATE-PUBLIC-ZERO-SURFACE
P4-X0200	PUBLIC_ZERO_SURFACE_TEST	P4-D-CALENDAR-API	P4-Z-CALENDAR-API	PUBLIC_ZERO_SURFACE	CALENDAR API artifact audit	P7-PUBLIC-ZERO-SURFACE	P4-GATE-PUBLIC-ZERO-SURFACE
P4-X0201	PUBLIC_ZERO_SURFACE_TEST	P4-D-CALENDAR-STORAGE	P4-Z-CALENDAR-STORAGE	PUBLIC_ZERO_SURFACE	CALENDAR STORAGE artifact audit	P7-PUBLIC-ZERO-SURFACE	P4-GATE-PUBLIC-ZERO-SURFACE
P4-X0202	PUBLIC_ZERO_SURFACE_TEST	P4-D-CALENDAR-I18N	P4-Z-CALENDAR-I18N	PUBLIC_ZERO_SURFACE	CALENDAR I18N artifact audit	P7-PUBLIC-ZERO-SURFACE	P4-GATE-PUBLIC-ZERO-SURFACE
P4-X0203	PUBLIC_ZERO_SURFACE_TEST	P4-D-CALENDAR-BUNDLE	P4-Z-CALENDAR-BUNDLE	PUBLIC_ZERO_SURFACE	CALENDAR BUNDLE artifact audit	P7-PUBLIC-ZERO-SURFACE	P4-GATE-PUBLIC-ZERO-SURFACE
P4-X0204	PUBLIC_ZERO_SURFACE_TEST	P4-D-CALENDAR-PACKAGE	P4-Z-CALENDAR-PACKAGE	PUBLIC_ZERO_SURFACE	CALENDAR PACKAGE artifact audit	P7-PUBLIC-ZERO-SURFACE	P4-GATE-PUBLIC-ZERO-SURFACE
P4-X0205	PUBLIC_ZERO_SURFACE_TEST	P4-D-QUIET_SNOOZE-SOURCE	P4-Z-QUIET_SNOOZE-SOURCE	PUBLIC_ZERO_SURFACE	QUIET_SNOOZE SOURCE artifact audit	P7-PUBLIC-ZERO-SURFACE	P4-GATE-PUBLIC-ZERO-SURFACE
P4-X0206	PUBLIC_ZERO_SURFACE_TEST	P4-D-QUIET_SNOOZE-DOM	P4-Z-QUIET_SNOOZE-DOM	PUBLIC_ZERO_SURFACE	QUIET_SNOOZE DOM artifact audit	P7-PUBLIC-ZERO-SURFACE	P4-GATE-PUBLIC-ZERO-SURFACE
P4-X0207	PUBLIC_ZERO_SURFACE_TEST	P4-D-QUIET_SNOOZE-ROUTE	P4-Z-QUIET_SNOOZE-ROUTE	PUBLIC_ZERO_SURFACE	QUIET_SNOOZE ROUTE artifact audit	P7-PUBLIC-ZERO-SURFACE	P4-GATE-PUBLIC-ZERO-SURFACE
P4-X0208	PUBLIC_ZERO_SURFACE_TEST	P4-D-QUIET_SNOOZE-API	P4-Z-QUIET_SNOOZE-API	PUBLIC_ZERO_SURFACE	QUIET_SNOOZE API artifact audit	P7-PUBLIC-ZERO-SURFACE	P4-GATE-PUBLIC-ZERO-SURFACE
P4-X0209	PUBLIC_ZERO_SURFACE_TEST	P4-D-QUIET_SNOOZE-STORAGE	P4-Z-QUIET_SNOOZE-STORAGE	PUBLIC_ZERO_SURFACE	QUIET_SNOOZE STORAGE artifact audit	P7-PUBLIC-ZERO-SURFACE	P4-GATE-PUBLIC-ZERO-SURFACE
P4-X0210	PUBLIC_ZERO_SURFACE_TEST	P4-D-QUIET_SNOOZE-I18N	P4-Z-QUIET_SNOOZE-I18N	PUBLIC_ZERO_SURFACE	QUIET_SNOOZE I18N artifact audit	P7-PUBLIC-ZERO-SURFACE	P4-GATE-PUBLIC-ZERO-SURFACE
P4-X0211	PUBLIC_ZERO_SURFACE_TEST	P4-D-QUIET_SNOOZE-BUNDLE	P4-Z-QUIET_SNOOZE-BUNDLE	PUBLIC_ZERO_SURFACE	QUIET_SNOOZE BUNDLE artifact audit	P7-PUBLIC-ZERO-SURFACE	P4-GATE-PUBLIC-ZERO-SURFACE
P4-X0212	PUBLIC_ZERO_SURFACE_TEST	P4-D-QUIET_SNOOZE-PACKAGE	P4-Z-QUIET_SNOOZE-PACKAGE	PUBLIC_ZERO_SURFACE	QUIET_SNOOZE PACKAGE artifact audit	P7-PUBLIC-ZERO-SURFACE	P4-GATE-PUBLIC-ZERO-SURFACE
P4-X0213	PUBLIC_ZERO_SURFACE_TEST	P4-D-PERSISTENT_SUBSCRIPTION_IDENTITY-SOURCE	P4-Z-PERSISTENT_SUBSCRIPTION_IDENTITY-SOURCE	PUBLIC_ZERO_SURFACE	PERSISTENT_SUBSCRIPTION_IDENTITY SOURCE artifact audit	P7-PUBLIC-ZERO-SURFACE	P4-GATE-PUBLIC-ZERO-SURFACE
P4-X0214	PUBLIC_ZERO_SURFACE_TEST	P4-D-PERSISTENT_SUBSCRIPTION_IDENTITY-DOM	P4-Z-PERSISTENT_SUBSCRIPTION_IDENTITY-DOM	PUBLIC_ZERO_SURFACE	PERSISTENT_SUBSCRIPTION_IDENTITY DOM artifact audit	P7-PUBLIC-ZERO-SURFACE	P4-GATE-PUBLIC-ZERO-SURFACE
P4-X0215	PUBLIC_ZERO_SURFACE_TEST	P4-D-PERSISTENT_SUBSCRIPTION_IDENTITY-ROUTE	P4-Z-PERSISTENT_SUBSCRIPTION_IDENTITY-ROUTE	PUBLIC_ZERO_SURFACE	PERSISTENT_SUBSCRIPTION_IDENTITY ROUTE artifact audit	P7-PUBLIC-ZERO-SURFACE	P4-GATE-PUBLIC-ZERO-SURFACE
P4-X0216	PUBLIC_ZERO_SURFACE_TEST	P4-D-PERSISTENT_SUBSCRIPTION_IDENTITY-API	P4-Z-PERSISTENT_SUBSCRIPTION_IDENTITY-API	PUBLIC_ZERO_SURFACE	PERSISTENT_SUBSCRIPTION_IDENTITY API artifact audit	P7-PUBLIC-ZERO-SURFACE	P4-GATE-PUBLIC-ZERO-SURFACE
P4-X0217	PUBLIC_ZERO_SURFACE_TEST	P4-D-PERSISTENT_SUBSCRIPTION_IDENTITY-STORAGE	P4-Z-PERSISTENT_SUBSCRIPTION_IDENTITY-STORAGE	PUBLIC_ZERO_SURFACE	PERSISTENT_SUBSCRIPTION_IDENTITY STORAGE artifact audit	P7-PUBLIC-ZERO-SURFACE	P4-GATE-PUBLIC-ZERO-SURFACE
P4-X0218	PUBLIC_ZERO_SURFACE_TEST	P4-D-PERSISTENT_SUBSCRIPTION_IDENTITY-I18N	P4-Z-PERSISTENT_SUBSCRIPTION_IDENTITY-I18N	PUBLIC_ZERO_SURFACE	PERSISTENT_SUBSCRIPTION_IDENTITY I18N artifact audit	P7-PUBLIC-ZERO-SURFACE	P4-GATE-PUBLIC-ZERO-SURFACE
P4-X0219	PUBLIC_ZERO_SURFACE_TEST	P4-D-PERSISTENT_SUBSCRIPTION_IDENTITY-BUNDLE	P4-Z-PERSISTENT_SUBSCRIPTION_IDENTITY-BUNDLE	PUBLIC_ZERO_SURFACE	PERSISTENT_SUBSCRIPTION_IDENTITY BUNDLE artifact audit	P7-PUBLIC-ZERO-SURFACE	P4-GATE-PUBLIC-ZERO-SURFACE
P4-X0220	PUBLIC_ZERO_SURFACE_TEST	P4-D-PERSISTENT_SUBSCRIPTION_IDENTITY-PACKAGE	P4-Z-PERSISTENT_SUBSCRIPTION_IDENTITY-PACKAGE	PUBLIC_ZERO_SURFACE	PERSISTENT_SUBSCRIPTION_IDENTITY PACKAGE artifact audit	P7-PUBLIC-ZERO-SURFACE	P4-GATE-PUBLIC-ZERO-SURFACE
P4-X0221	PUBLIC_ZERO_SURFACE_TEST	P4-D-LOCAL_RESET-SOURCE	P4-Z-LOCAL_RESET-SOURCE	PUBLIC_ZERO_SURFACE	LOCAL_RESET SOURCE artifact audit	P7-PUBLIC-ZERO-SURFACE	P4-GATE-PUBLIC-ZERO-SURFACE
P4-X0222	PUBLIC_ZERO_SURFACE_TEST	P4-D-LOCAL_RESET-DOM	P4-Z-LOCAL_RESET-DOM	PUBLIC_ZERO_SURFACE	LOCAL_RESET DOM artifact audit	P7-PUBLIC-ZERO-SURFACE	P4-GATE-PUBLIC-ZERO-SURFACE
P4-X0223	PUBLIC_ZERO_SURFACE_TEST	P4-D-LOCAL_RESET-ROUTE	P4-Z-LOCAL_RESET-ROUTE	PUBLIC_ZERO_SURFACE	LOCAL_RESET ROUTE artifact audit	P7-PUBLIC-ZERO-SURFACE	P4-GATE-PUBLIC-ZERO-SURFACE
P4-X0224	PUBLIC_ZERO_SURFACE_TEST	P4-D-LOCAL_RESET-API	P4-Z-LOCAL_RESET-API	PUBLIC_ZERO_SURFACE	LOCAL_RESET API artifact audit	P7-PUBLIC-ZERO-SURFACE	P4-GATE-PUBLIC-ZERO-SURFACE
P4-X0225	PUBLIC_ZERO_SURFACE_TEST	P4-D-LOCAL_RESET-STORAGE	P4-Z-LOCAL_RESET-STORAGE	PUBLIC_ZERO_SURFACE	LOCAL_RESET STORAGE artifact audit	P7-PUBLIC-ZERO-SURFACE	P4-GATE-PUBLIC-ZERO-SURFACE
P4-X0226	PUBLIC_ZERO_SURFACE_TEST	P4-D-LOCAL_RESET-I18N	P4-Z-LOCAL_RESET-I18N	PUBLIC_ZERO_SURFACE	LOCAL_RESET I18N artifact audit	P7-PUBLIC-ZERO-SURFACE	P4-GATE-PUBLIC-ZERO-SURFACE
P4-X0227	PUBLIC_ZERO_SURFACE_TEST	P4-D-LOCAL_RESET-BUNDLE	P4-Z-LOCAL_RESET-BUNDLE	PUBLIC_ZERO_SURFACE	LOCAL_RESET BUNDLE artifact audit	P7-PUBLIC-ZERO-SURFACE	P4-GATE-PUBLIC-ZERO-SURFACE
P4-X0228	PUBLIC_ZERO_SURFACE_TEST	P4-D-LOCAL_RESET-PACKAGE	P4-Z-LOCAL_RESET-PACKAGE	PUBLIC_ZERO_SURFACE	LOCAL_RESET PACKAGE artifact audit	P7-PUBLIC-ZERO-SURFACE	P4-GATE-PUBLIC-ZERO-SURFACE
P4-X0229	CORE_CONTRACT_TEST	02-public-runtime-session-capability-contract.md	P4-SESSION-001	FROZEN_CONTRACT_TEST	public session acceptance scenario 1	P7-PUBLIC-SESSION;P7-SHARED-WATCH;P7-SHARED-UI	P4-GATE-CORE-CONTRACT
P4-X0230	CORE_CONTRACT_TEST	02-public-runtime-session-capability-contract.md	P4-SESSION-002	FROZEN_CONTRACT_TEST	public session acceptance scenario 2	P7-PUBLIC-SESSION;P7-SHARED-WATCH;P7-SHARED-UI	P4-GATE-CORE-CONTRACT
P4-X0231	CORE_CONTRACT_TEST	02-public-runtime-session-capability-contract.md	P4-SESSION-003	FROZEN_CONTRACT_TEST	public session acceptance scenario 3	P7-PUBLIC-SESSION;P7-SHARED-WATCH;P7-SHARED-UI	P4-GATE-CORE-CONTRACT
P4-X0232	CORE_CONTRACT_TEST	02-public-runtime-session-capability-contract.md	P4-SESSION-004	FROZEN_CONTRACT_TEST	public session acceptance scenario 4	P7-PUBLIC-SESSION;P7-SHARED-WATCH;P7-SHARED-UI	P4-GATE-CORE-CONTRACT
P4-X0233	CORE_CONTRACT_TEST	02-public-runtime-session-capability-contract.md	P4-SESSION-005	FROZEN_CONTRACT_TEST	public session acceptance scenario 5	P7-PUBLIC-SESSION;P7-SHARED-WATCH;P7-SHARED-UI	P4-GATE-CORE-CONTRACT
P4-X0234	CORE_CONTRACT_TEST	02-public-runtime-session-capability-contract.md	P4-SESSION-006	FROZEN_CONTRACT_TEST	public session acceptance scenario 6	P7-PUBLIC-SESSION;P7-SHARED-WATCH;P7-SHARED-UI	P4-GATE-CORE-CONTRACT
P4-X0235	CORE_CONTRACT_TEST	02-public-runtime-session-capability-contract.md	P4-SESSION-007	FROZEN_CONTRACT_TEST	public session acceptance scenario 7	P7-PUBLIC-SESSION;P7-SHARED-WATCH;P7-SHARED-UI	P4-GATE-CORE-CONTRACT
P4-X0236	CORE_CONTRACT_TEST	02-public-runtime-session-capability-contract.md	P4-SESSION-008	FROZEN_CONTRACT_TEST	public session acceptance scenario 8	P7-PUBLIC-SESSION;P7-SHARED-WATCH;P7-SHARED-UI	P4-GATE-CORE-CONTRACT
P4-X0237	CORE_CONTRACT_TEST	02-public-runtime-session-capability-contract.md	P4-SESSION-009	FROZEN_CONTRACT_TEST	public session acceptance scenario 9	P7-PUBLIC-SESSION;P7-SHARED-WATCH;P7-SHARED-UI	P4-GATE-CORE-CONTRACT
P4-X0238	CORE_CONTRACT_TEST	02-public-runtime-session-capability-contract.md	P4-SESSION-010	FROZEN_CONTRACT_TEST	public session acceptance scenario 10	P7-PUBLIC-SESSION;P7-SHARED-WATCH;P7-SHARED-UI	P4-GATE-CORE-CONTRACT
P4-X0239	CORE_CONTRACT_TEST	03-public-refresh-capacity-degradation-plan.md	P4-REFRESH-001	FROZEN_CONTRACT_TEST	public refresh capacity acceptance scenario 1	P7-SHARED-OPEN;P7-PUBLIC-RUNTIME	P4-GATE-CORE-CONTRACT
P4-X0240	CORE_CONTRACT_TEST	03-public-refresh-capacity-degradation-plan.md	P4-REFRESH-002	FROZEN_CONTRACT_TEST	public refresh capacity acceptance scenario 2	P7-SHARED-OPEN;P7-PUBLIC-RUNTIME	P4-GATE-CORE-CONTRACT
P4-X0241	CORE_CONTRACT_TEST	03-public-refresh-capacity-degradation-plan.md	P4-REFRESH-003	FROZEN_CONTRACT_TEST	public refresh capacity acceptance scenario 3	P7-SHARED-OPEN;P7-PUBLIC-RUNTIME	P4-GATE-CORE-CONTRACT
P4-X0242	CORE_CONTRACT_TEST	03-public-refresh-capacity-degradation-plan.md	P4-REFRESH-004	FROZEN_CONTRACT_TEST	public refresh capacity acceptance scenario 4	P7-SHARED-OPEN;P7-PUBLIC-RUNTIME	P4-GATE-CORE-CONTRACT
P4-X0243	CORE_CONTRACT_TEST	03-public-refresh-capacity-degradation-plan.md	P4-REFRESH-005	FROZEN_CONTRACT_TEST	public refresh capacity acceptance scenario 5	P7-SHARED-OPEN;P7-PUBLIC-RUNTIME	P4-GATE-CORE-CONTRACT
P4-X0244	CORE_CONTRACT_TEST	03-public-refresh-capacity-degradation-plan.md	P4-REFRESH-006	FROZEN_CONTRACT_TEST	public refresh capacity acceptance scenario 6	P7-SHARED-OPEN;P7-PUBLIC-RUNTIME	P4-GATE-CORE-CONTRACT
P4-X0245	CORE_CONTRACT_TEST	03-public-refresh-capacity-degradation-plan.md	P4-REFRESH-007	FROZEN_CONTRACT_TEST	public refresh capacity acceptance scenario 7	P7-SHARED-OPEN;P7-PUBLIC-RUNTIME	P4-GATE-CORE-CONTRACT
P4-X0246	CORE_CONTRACT_TEST	03-public-refresh-capacity-degradation-plan.md	P4-REFRESH-008	FROZEN_CONTRACT_TEST	public refresh capacity acceptance scenario 8	P7-SHARED-OPEN;P7-PUBLIC-RUNTIME	P4-GATE-CORE-CONTRACT
P4-X0247	CORE_CONTRACT_TEST	03-public-refresh-capacity-degradation-plan.md	P4-REFRESH-009	FROZEN_CONTRACT_TEST	public refresh capacity acceptance scenario 9	P7-SHARED-OPEN;P7-PUBLIC-RUNTIME	P4-GATE-CORE-CONTRACT
P4-X0248	CORE_CONTRACT_TEST	03-public-refresh-capacity-degradation-plan.md	P4-REFRESH-010	FROZEN_CONTRACT_TEST	public refresh capacity acceptance scenario 10	P7-SHARED-OPEN;P7-PUBLIC-RUNTIME	P4-GATE-CORE-CONTRACT
P4-X0249	CORE_CONTRACT_TEST	04-linux-package-and-operations-plan.md	P4-OPS-001	FROZEN_CONTRACT_TEST	public package and operations acceptance scenario 1	P7-PUBLIC-OPS;P7-PUBLIC-PACKAGE	P4-GATE-CORE-CONTRACT
P4-X0250	CORE_CONTRACT_TEST	04-linux-package-and-operations-plan.md	P4-OPS-002	FROZEN_CONTRACT_TEST	public package and operations acceptance scenario 2	P7-PUBLIC-OPS;P7-PUBLIC-PACKAGE	P4-GATE-CORE-CONTRACT
P4-X0251	CORE_CONTRACT_TEST	04-linux-package-and-operations-plan.md	P4-OPS-003	FROZEN_CONTRACT_TEST	public package and operations acceptance scenario 3	P7-PUBLIC-OPS;P7-PUBLIC-PACKAGE	P4-GATE-CORE-CONTRACT
P4-X0252	CORE_CONTRACT_TEST	04-linux-package-and-operations-plan.md	P4-OPS-004	FROZEN_CONTRACT_TEST	public package and operations acceptance scenario 4	P7-PUBLIC-OPS;P7-PUBLIC-PACKAGE	P4-GATE-CORE-CONTRACT
P4-X0253	CORE_CONTRACT_TEST	04-linux-package-and-operations-plan.md	P4-OPS-005	FROZEN_CONTRACT_TEST	public package and operations acceptance scenario 5	P7-PUBLIC-OPS;P7-PUBLIC-PACKAGE	P4-GATE-CORE-CONTRACT
P4-X0254	CORE_CONTRACT_TEST	04-linux-package-and-operations-plan.md	P4-OPS-006	FROZEN_CONTRACT_TEST	public package and operations acceptance scenario 6	P7-PUBLIC-OPS;P7-PUBLIC-PACKAGE	P4-GATE-CORE-CONTRACT
P4-X0255	CORE_CONTRACT_TEST	04-linux-package-and-operations-plan.md	P4-OPS-007	FROZEN_CONTRACT_TEST	public package and operations acceptance scenario 7	P7-PUBLIC-OPS;P7-PUBLIC-PACKAGE	P4-GATE-CORE-CONTRACT
P4-X0256	CORE_CONTRACT_TEST	04-linux-package-and-operations-plan.md	P4-OPS-008	FROZEN_CONTRACT_TEST	public package and operations acceptance scenario 8	P7-PUBLIC-OPS;P7-PUBLIC-PACKAGE	P4-GATE-CORE-CONTRACT
P4-X0257	CORE_CONTRACT_TEST	04-linux-package-and-operations-plan.md	P4-OPS-009	FROZEN_CONTRACT_TEST	public package and operations acceptance scenario 9	P7-PUBLIC-OPS;P7-PUBLIC-PACKAGE	P4-GATE-CORE-CONTRACT
P4-X0258	CORE_CONTRACT_TEST	04-linux-package-and-operations-plan.md	P4-OPS-010	FROZEN_CONTRACT_TEST	public package and operations acceptance scenario 10	P7-PUBLIC-OPS;P7-PUBLIC-PACKAGE	P4-GATE-CORE-CONTRACT
